"DON'T NOD", Life is Strange 2
"Traveller's Tales", LEGO Batman: The Video Game
"YUKE'S Co., WWE SmackDown vs. Raw 2008
'(Archive) Square Product Development Division 4', Vagrant Story
'07th Expansion', Umineko: When They Cry Chiru
'0UP Games', Your Turn To Die: Death Game By Majority
'11 bit studios', Children of Morta
'110 Industries', Wanted: Dead
'2K Australia', BioShock Remastered
'2K Boston', BioShock
'2K Games', Borderlands
'2K Marin', BioShock 2
'343 Industries', Halo 4
'38 Studios', Kingdoms of Amalur: Reckoning
'3909', Return of the Obra Dinn
'3D: Doom Daddy Digital', Another Pokémon Game
'4A Games', Metro 2033 Redux
'505 Games', Indivisible
'5pb.', Anonymous;Code
'5th Cell', Scribblenauts
'8-4', Deltarune: Chapter 2
'A Grumpy Fox', Lunistice
'ASCII Entertainment', Moon: Remix RPG Adventure
'Access Games', Drakengard 3
'Acid Nerve', Death's Door
'Acid Wizard Studio', Darkwood
'Activision Blizzard', Crash Team Racing Nitro-Fueled
'Activision', Destiny 2
'Adult Swim Games', Jazzpunk
'Agetec', Armored Core
'Airdorf Games', Faith: The Unholy Trinity
'Airship Syndicate', Ruined King: A League of Legends Story
'Aksys Games', Guilty Gear Xrd: Rev 2
'All In! Games', Ghostrunner
'AlphaDream', Mario & Luigi: Bowser's Inside Story
'Amanita Design', Machinarium
'Ambrella', Pokémon Rumble Blast
'Andrew Shouldice', Tunic
'Aniplex', Witch on the Holy Night
'Annapurna Interactive', What Remains of Edith Finch
'Ape', EarthBound Beginnings
'Aquaplus', Utawarerumono: Mask of Truth
'Arc System Works', The Missing: J.J. Macfield and the Island of Memories
'Ark Heiral', Chained Echoes
'Arkane Studios', Deathloop
'Armor Project', Dragon Quest
'Askiisoft', Katana Zero
'Asobo Studio', A Plague Tale: Innocence
'Aspect Co. Ltd', Sonic the Hedgehog 2
'Aspyr Media', Star Wars: The Force Unleashed
'Atari, Ms. Pac-Man
'Atari', The Witcher 2: Assassins of Kings
'Atlus USA', Persona 3 FES
'Atlus', Odin Sphere: Leifthrasir
'Avalanche Software', Hogwarts Legacy
'Avalanche Studios', Just Cause 2
'B.B. Studio', Digimon World: Next Order
'Bandai Namco Entertainment America', Tales of Berseria
'Bandai Namco Entertainment Europe', Digimon World: Next Order
'Bandai Namco Entertainment', JoJo’s Bizarre Adventure: All-Star Battle R
'Bandai Namco Games', Pac-Man World Re-Pac
'Bandai Namco Studios', Tekken 7
'Bandai', Naruto: Ultimate Ninja 3
'Bay 12 Games', Dwarf Fortress
'Bedtime Digital Games', Figment
'Beenox', Ultimate Spider-Man
'Beethoven & Dinosaur', The Artful Escape
'Behaviour Interactive', Dead by Daylight
'Ben Esposito', Donut County
'Berserk Games', Tabletop Simulator
'Bethesda Game Studios', The Elder Scrolls IV: Oblivion
'Bethesda Softworks', Wolfenstein: The New Order
'Big Trash Games', Better Call Saul Kart
'Binary Haze Interactive', Ender Lilies: Quietus of the Knights
'BioWare Edmonton', Mass Effect 3
'BioWare', Mass Effect 2
'Black Isle Studios', Fallout 2
'Black Mermaid', Moonscars
'BlitWorks', Jet Set Radio
'Blizzard Entertainment', Overwatch 2
'Blue Mammoth Games', Brawlhalla
'Blue Tongue Entertainment', Nicktoons Unite!
'BlueTwelve Studio', Stray
'Bluehole Studio', PUBG: Battlegrounds
'Bluepoint Games', Shadow of the Colossus
'Boneloaf', Gang Beasts
'Brace Yourself Games', Phantom Brigade
'Buena Vista Games', Kingdom Hearts II
'Bungie', Destiny 2
'CD Projekt RED', The Witcher 3: Wild Hunt - Game of the Year Edition
'CD Projekt', The Witcher 3: Wild Hunt - Game of the Year Edition
'Camelot Software Planning', Mario Power Tennis
'Campo Santo', Firewatch
'Capcom Development Division 1', Devil May Cry 5: Special Edition
'Capcom Development Division 2', Monster Hunter Rise
'Capcom Planning Room 2', Resident Evil 3: Nemesis
'Capcom Production Studio 1', The Legend of Zelda: The Minish Cap
'Capcom Production Studio 2', Mega Man Legends
'Capcom Production Studio 3', Mega Man X5
'Capcom Production Studio 4', Resident Evil 4: Ultimate HD Edition
'Capcom USA', Mega Man Legends
'Capcom', Mega Man ZX Advent
'Cardboard Computer', Kentucky Route Zero: TV Edition
'Cavia', NieR
'Certain Affinity', Left 4 Dead
'Chris Nordgren', Everhood
'Chucklefish Games', Stardew Valley
'Chunsoft', Dragon Quest II: Luminaries of the Legendary Line
'Cing', Hotel Dusk: Room 215
'Clickteam', Five Nights at Freddy's
'Clover Studio', Ōkami HD
'Coffee Stain Publishing', Valheim
'Coffee Stain Studios', Goat Simulator
'Cold Symmetry', Mortal Shell
'ConcernedApe', Stardew Valley
'Core Design', Tomb Raider
'Creatures Inc.', EarthBound
'Criterion Games', Need for Speed: Hot Pursuit
'Crowbar Collective', Black Mesa
'Crows Crows Crows', The Stanley Parable: Ultra Deluxe
'Crunching Koalas', Darkwood
'Crystal Dynamics', Tomb Raider
'Crytek Frankfurt', Crysis
'Curve Digital', The Swapper
'CyberConnect2', JoJo’s Bizarre Adventure: All-Star Battle R
'CyberFront', Half-Life 2: Episode One
'DANGEN Entertainment', Bug Fables: The Everlasting Sapling
'DC Entertainment', Batman: Arkham City
'DMA Design', Grand Theft Auto III
'Dani', Crab Game
'Daniel Mullins Games', Inscryption
'David Szymanski', Gloomwood
'Daybreak Game Company', Payday: The Heist
'DeNA Co., Yume Nikki
'Dead Mage', Children of Morta
'Dean "ppy" Herbert', Osu!
'Dear Villagers', The Forgotten City
'Deck Nine', Life is Strange: Before the Storm
'Deck13 Interactive', Lunistice
'Deck13 Spotlight', Chained Echoes
'Deep Silver', Mighty No. 9
'Delightworks', Melty Blood: Type Lumina
'Delphine Software', Another World
'Dennaton Games', Hotline Miami
