2023-05-11 06:37:00,2023-05-11 06:38:00,0
2023-05-11 06:37:00,2023-05-11 06:38:00,Twitter for Android,38
2023-05-11 06:37:00,2023-05-11 06:38:00,Twitter for iPad,3
2023-05-11 06:37:00,2023-05-11 06:38:00,Buffer,2
2023-05-11 06:37:00,2023-05-11 06:38:00,Twitter for iPhone,63
2023-05-11 06:37:00,2023-05-11 06:38:00,Twitter Media Studio,1
2023-05-11 06:37:00,2023-05-11 06:38:00,Twittimer,1
2023-05-11 06:37:00,2023-05-11 06:38:00,Hootsuite Inc.,1
2023-05-11 06:37:00,2023-05-11 06:38:00,Twitter for Mac,1
2023-05-11 06:37:00,2023-05-11 06:38:00,Twitter Web App,41
2023-05-11 06:37:00,2023-05-11 06:38:00,TweetDeck,7
2023-05-11 06:43:30,2023-05-11 06:44:30,0
2023-05-11 06:43:30,2023-05-11 06:44:30,Jetpack.com,1
2023-05-11 06:43:30,2023-05-11 06:44:30,Twittimer,2
2023-05-11 06:43:30,2023-05-11 06:44:30,RSS Ground,1
2023-05-11 06:43:30,2023-05-11 06:44:30,Hootsuite Inc.,8
2023-05-11 06:43:30,2023-05-11 06:44:30,Sendible,1
2023-05-11 06:43:30,2023-05-11 06:44:30,SocialPilot.co,1
2023-05-11 06:43:30,2023-05-11 06:44:30,Twitter for Android,189
2023-05-11 06:43:30,2023-05-11 06:44:30,Qualtrics Social Connect,5
2023-05-11 06:43:30,2023-05-11 06:44:30,RepurposeIO,1
2023-05-11 06:43:30,2023-05-11 06:44:30,SMMplanner,1
2023-05-11 06:43:30,2023-05-11 06:44:30,Twitter Media Studio,2
2023-05-11 06:43:30,2023-05-11 06:44:30,positive,1
2023-05-11 06:43:30,2023-05-11 06:44:30,Buffer,1
2023-05-11 06:43:30,2023-05-11 06:44:30,IFTTT,2
2023-05-11 06:43:30,2023-05-11 06:44:30,Cloud Campaign,2
2023-05-11 06:43:30,2023-05-11 06:44:30,LaterMedia,2
2023-05-11 06:43:30,2023-05-11 06:44:30,TweetDeck,18
2023-05-11 06:43:30,2023-05-11 06:44:30,Twitter for iPhone,156
2023-05-11 06:43:30,2023-05-11 06:44:30,Twitter Web App,106
2023-05-11 06:43:30,2023-05-11 06:44:30,Loomly,1
2023-05-11 06:43:30,2023-05-11 06:44:30,Twitter Ads,1
2023-05-11 06:43:30,2023-05-11 06:44:30,Twitter for iPad,5
2023-05-11 06:43:30,2023-05-11 06:44:30,Sprout Social,3
